Total Games Played: 281
1;562;3.485172338332996;2689.3398576512454
2;558;3.2020814692247677;2671.252688172043
3;554;3.027149699655245;2649.9801444043355
4;546;2.747139089273447;2537.917582417579
5;535;2.4994732723057806;2451.104672897197
6;530;2.2102317967504783;2315.4716981132015
7;518;1.8990734801789504;2117.8069498069494
8;503;1.5742683112028817;1851.0357852882698
9;498;1.2500402697597641;1557.4698795180727
10;496;0.9362265001381598;1219.2641129032263
11;492;0.6285511410333279;854.985772357723
12;484;0.4016108685288545;562.9793388429749
13;471;0.2223337415423867;311.1613588110403
14;456;0.11045875883938984;153.6622807017545
15;439;0.057675267677915365;79.12528473804099
16;393;0.02577528031424405;35.93384223918575
17;323;0.010034285831746677;15.647058823529422
18;250;0.0036075706481933584;7.480000000000004
19;206;1.3101448133153824e-05;1.6067961165048532
